pcr_lab_id,pcr_date,id_tag,assay,threshold,run_inhibited,inhibition_ct,mean_ct,wells_amplified,wells,well_1_ct,well_2_ct,well_3_ct,std_curve,mean_quant,sd_quant,efficiency,r2,final_data
NGC,12/7/2023,620_C1_72 HR,DMAR,0.073896129,N,0.366778176,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,94.08705023,0.991392194,2
NGC,12/7/2023,620_C2_48 HR,DMAR,0.073896129,N,-0.034173501,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,94.08705023,0.991392194,2
NGC,12/7/2023,620_C2_72 HR,DMAR,0.073896129,N,0.0456158,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,94.08705023,0.991392194,2
NGC,12/7/2023,620_D1_48 HR,DMAR,0.073896129,N,0.049178223,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,94.08705023,0.991392194,2
NGC,12/7/2023,620_D2_48 HR,DMAR,0.073896129,N,0.092010683,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,94.08705023,0.991392194,2
NGC,12/7/2023,627_D3_10 DAY,DMAR,0.073896129,N,0.080685083,34.57254162,3,3,34.093862004826796,34.276381429963294,35.34738143458796,Y,6.406778521,2.47131255,94.08705023,0.991392194,2
NGC,12/7/2023,627_D4_10 DAY,DMAR,0.073896129,N,0.016314418,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,94.08705023,0.991392194,2
NGC,12/7/2023,627_D4_24 HR,DMAR,0.073896129,N,0.067251522,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,94.08705023,0.991392194,2
NGC,12/7/2023,627_D4_48 HR,DMAR,0.073896129,N,0.20881536,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,94.08705023,0.991392194,2
NGC,12/7/2023,618_E4_4 HR,DMAR,3.054141844,Y,0,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,37.7668,92.73829776,2
NGC,12/7/2023,627_D6_24 HR,DMAR,0.073896129,N,0.327956496,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,94.08705023,0.991392194,2
NGC,1/16/2024,271_E5_72 HR,DMAR,0.065313835,N,0.41861079,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,92.15010791,0.990828854,2
NGC,1/16/2024,271_E6_10 DAY,DMAR,0.065313835,N,-0.014520541,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,92.15010791,0.990828854,2
NGC,1/16/2024,271_E6_7 DAY,DMAR,0.065313835,N,-0.026514662,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,92.15010791,0.990828854,2
NGC,1/16/2024,271_F2_1 HR,DMAR,0.065313835,N,-0.01121077,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,92.15010791,0.990828854,2
NGC,1/16/2024,271_F2_4 HR,DMAR,0.065313835,N,-0.017841172,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,92.15010791,0.990828854,2
NGC,1/16/2024,416_A1_72 HR,DMAR,0.065313835,N,-0.020812992,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,92.15010791,0.990828854,2
NGC,1/16/2024,416_A2_72 HR,DMAR,0.065313835,N,-0.060197689,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,92.15010791,0.990828854,2
NGC,1/16/2024,416_B1_48 HR,DMAR,0.065313835,N,-0.001856879,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,92.15010791,0.990828854,2
NGC,1/16/2024,416_B2_72 HR,DMAR,0.065313835,N,-0.022893671,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,92.15010791,0.990828854,2
NGC,1/16/2024,565_F5_6 DAY,DMAR,0.065313835,N,0.05672914,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,92.15010791,0.990828854,2
NGC,1/16/2024,617_G3_48 HR,DMAR,0.065313835,N,-0.029001049,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,92.15010791,0.990828854,2
NGC,1/16/2024,618_E1_72 HR,DMAR,0.065313835,N,0.020134687,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,92.15010791,0.990828854,2
NGC,1/16/2024,618_E3_72 HR,DMAR,0.065313835,N,-0.105118294,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,92.15010791,0.990828854,2
NGC,1/16/2024,621_H2_72 HR,DMAR,0.065313835,N,-0.00542147,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,92.15010791,0.990828854,2
NGC,1/16/2024,621_I1_7 DAY,DMAR,0.065313835,N,-0.010700765,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,92.15010791,0.990828854,2
NGC,1/16/2024,627_D5_72 HR,DMAR,0.065313835,N,0.014078199,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,92.15010791,0.990828854,2
NGC,1/16/2024,627_D6_72 HR,DMAR,0.065313835,N,0.035236418,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,92.15010791,0.990828854,2
NGC,1/16/2024,416_B2_48 HR,DMAR,0.065313835,N,0.174854881,37.48496642,1,3,Undetermined,Undetermined,37.48496641532989,Y,0.537174527,0.930413573,92.15010791,0.990828854,2
NGC,1/16/2024,271_E5_4 HR,DMAR,0.065313835,N,0.042381324,37.41886896,1,3,Undetermined,37.41886896453184,Undetermined,Y,0.560871366,0.971457702,92.15010791,0.990828854,2
NGC,1/16/2024,416_A1_10 DAY,DMAR,0.065313835,N,-0.024782869,37.24628289,1,3,37.24628289215825,Undetermined,Undetermined,Y,0.627791634,1.087367007,92.15010791,0.990828854,2
