,eDNA_S1,C_S1,eDNA_S2,C_S2,eDNA_S3,C_S3
FSW_B10,0,0,0,0,0,0
FSW_B6,0,0,1,0,0,1
FSW_B7,0,0,0,0,0,0
FSW_B8,0,0,0,0,0,0
FSW_B9,0,0,0,0,0,0
FSW_F10,0,0,0,0,0,0
FSW_F6,0,0,0,0,0,1
FSW_F7,0,0,0,0,0,0
FSW_F8,0,1,0,0,0,0
FSW_F9,0,0,0,0,0,0
FSE_B1,1,1,1,1,1,0
FSE_B2,0,0,0,0,0,0
FSE_B3,0,0,0,0,0,0
FSE_B4,0,0,0,0,0,0
FSE_B5,0,1,0,0,0,0
FSE_F1,0,0,0,0,0,0
FSE_F2,0,0,0,0,1,0
FSE_F3,0,0,0,0,0,0
FSE_F4,0,1,0,0,0,0
FSE_F5,1,1,0,0,0,0
