id,id_date
CNF_CB2_1221,CB2+2d
CNF_CB5_0228,CB5+1d
CNF_RF1_0228,RF1+1d
CNF_RF1_1221,RF1+3d
FSW_B6_0221,B6+6d
FSW_F6_0221,F6+9d
FSW_F8_1207,F8+4d
FSE_B1_0111,B1+6d
FSE_B5_1206,B5+1d
FSE_F4_1206,F4+4d
FSW_B6_0307,B6+1d
FSW_B8_1218,B8+3d
FSW_B9_0201,B9+4d
FSW_B9_0307,B9+11d
FSE_B1_1218,B1+4d
FSE_B1_0201,B1+6d
FSE_B3_1218,B3+9d
FSE_B3_0201,B3+8d
FSE_B5_0201,B5+9d
ABP_B12_0224,B12+3d
ABP_F5C44_0224,F5+10d
ABP_F8C28_0224,F8+9d
